parameter_path,value
features.engineering_sequence_schema,engineering_10s_hop2s_thesis_115_v3
features.file_aggregation,"[""mean"", ""population_sd""]"
features.file_vector_schema,feature_vector_282_v3
features.matrix_k,150
features.matrix_schema,ordered_feature_matrix_d115_by_150_engineering_v4
features.missing_physiology_encoding,nan_and_validity_false
features.prv_library_comparison_scope,fixed_ppi_vectors_only_no_classifier
features.prv_primary_backend,local_manual
features.rate_prv_min_duration_s,8.0
features.rate_prv_min_peaks,5
features.registry_id,feature_vector_282_v3
features.sample_entropy.m,2
features.sample_entropy.min_intervals,200
features.sample_entropy.r_sd_fraction,0.2
features.spectral_bands_hz.hf,"[0.15, 0.4]"
features.spectral_bands_hz.lf,"[0.04, 0.15]"
features.spectral_bands_hz.vlf,"[0.003, 0.04]"
features.spectral_prv_min_coverage,0.8
features.spectral_prv_min_duration_s,300.0
features.spectral_prv_min_intervals,200
features.tachogram_fs_hz,4.0
features.technical_metadata_allowed,False
features.time_prv_min_coverage,0.8
features.time_prv_min_duration_s,60.0
features.time_prv_min_intervals,30
manifest.allow_qc_excluded_records,False
manifest.channel_order,"[""RED"", ""IR"", ""AX"", ""AY"", ""AZ"", ""GX"", ""GY"", ""GZ""]"
manifest.class_id_order,"[0, 1, 2]"
manifest.class_name_order,"[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]"
manifest.expected_participant_count,29
manifest.expected_record_count,261
manifest.manifest_version,internal_records_v2
manifest.path,manifests/internal_records_v2.csv
manifest.source_dataset_id,frailty3_m2_20260815_a054800abda272f6
manifest.source_manifest_sha256,bd429ae9c56974ba9ffcb924dfbad0ed930f7d2d47418365754a1929ada06e90
model.dropout,0.2
model.input_channel_order,"[""RED"", ""IR"", ""A_dyn_x"", ""A_dyn_y"", ""A_dyn_z"", ""GX"", ""GY"", ""GZ""]"
model.input_channels,8
model.input_channels_resolution,canonical_frailty_raw_8
model.mask_aware_pooling,True
model.n_classes,3
model.seed_policy,outer_cv_repeat_seed_equals_split_seed
output.overwrite_existing,False
output.parquet_missing_dependency_action,fail_closed
output.root,artifacts/runs
output.strict_json,True
output.write_file_oof,True
output.write_member_oof,False
output.write_parquet,True
output.write_subject_oof,True
output.write_window_oof,True
quality.components,[]
quality.failure_action,fail_closed
quality.fit_scope,not_applied_off
quality.flatline_duration_s,1.0
quality.high_quality_rule,not_applied
quality.long_gap_max_samples,100
quality.mode,off
quality.window_selection.application_scope,outer_train_only
quality.window_selection.keep_fraction,1.0
quality.window_selection.policy,none
quality.window_selection.score_algorithm,legacy_cardiac_motion_window_sqi_v1
representation_mode,raw
roles,"[""B"", ""R1"", ""R2"", ""R3"", ""R4""]"
schema_version,ppg_frailty.pipeline_config.v2
signal.accelerometer_input_unit,g
signal.analysis_view.additional_filter,none
signal.analysis_view.direct_source,x_filter_0p2_to_8hz
signal.analysis_view.non_identity_semantics,rate_only
signal.analysis_view.non_identity_source,aligned_x_ar
signal.channel_order,"[""RED"", ""IR"", ""AX"", ""AY"", ""AZ"", ""GX"", ""GY"", ""GZ""]"
signal.dl_resampling.enabled,False
signal.dl_resampling.method,polyphase_anti_alias
signal.dl_resampling.preserve_feature_grid_hz,400.0
signal.dl_resampling.target_fs_hz,400.0
signal.gap_repair.all_missing_channel_action,reject_record
signal.gap_repair.edge_extrapolation,False
signal.gap_repair.max_gap_samples,100
signal.gap_repair.method,linear_inside_only
signal.gyroscope_input_unit,deg/s
signal.imu.calibration_start_s,5.0
signal.imu.calibration_stop_s,100.0
signal.imu.comparison_method,profile_a_lowpass_0p3hz
signal.imu.dynamic_observation_scale,3.0
signal.imu.failure_action,fail_closed
signal.imu.gravity_method,calibrated_roll_pitch_ekf
signal.imu.gravity_mps2,9.81
signal.imu.initial_covariance_diagonal,"[1.0, 1.0, 0.5, 0.5, 0.5]"
signal.imu.initialization,same_participant_static_calibration
signal.imu.observation_covariance_diagonal_rad2,"[0.5, 0.5]"
signal.imu.output_units.acceleration,m/s^2
signal.imu.output_units.gyroscope,rad/s
signal.imu.output_units.jerk,m/s^3
signal.imu.process_covariance_diagonal_per_second,"[5.0, 5.0, 0.05, 0.05, 0.05]"
signal.imu.required_axes,6
signal.imu.sensor_filter_order,3
signal.imu.sensor_lowpass_acc_hz,20.0
signal.imu.sensor_lowpass_gyro_hz,40.0
signal.internal_fs_hz,400.0
signal.normalization.clip_after_scale,"[-8.0, 8.0]"
signal.normalization.iqr_fallback,standard_deviation_then_finite_one
signal.normalization.mad_consistency_divisor,0.6744897501960817
signal.normalization.raw_imu,none
signal.normalization.raw_ppg,per_window_robust
signal.normalization.robust_iqr_divisor,1.349
signal.normalization.scale_epsilon,1e-08
signal.normalization.standard_ddof,0
signal.peak_detector.detector_id,aboy_project_v1
signal.peak_detector.failure_action,fail_closed_no_fallback
signal.peak_detector.min_observation_sec,8.0
signal.peak_detector.min_peaks,5
signal.ppg_filter.family,butterworth_sos
signal.ppg_filter.high_hz,8.0
signal.ppg_filter.low_hz,0.2
signal.ppg_filter.notch_enabled,False
signal.ppg_filter.order,3
signal.ppg_filter.phase,zero_phase
signal.ppg_filter.short_signal_policy,reject
signal.ppg_native_unit,raw_counts
splits.n_repeats,5
splits.n_splits,5
splits.path,splits/sgkf5_repeated_grouped_5x5_v2.csv
splits.registry_id,frailty3_future_corrected_sgkf5_v2
splits.runtime_recompute,False
splits.source_registry_file_sha256,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c
splits.source_registry_payload_sha256,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46
splits.split_seeds,"[42, 10042, 20042, 30042, 40042]"
training.batch_size,64
training.cache_policy,disabled
training.class_count_basis,participant
training.class_weight_beta,0.999
training.class_weighting,inverse_frequency
training.classifier_role_families,"[""B"", ""R""]"
training.deterministic_algorithms,True
training.device,cuda
training.epoch_profile,default_10
training.epoch_rule,fixed_epoch
training.execution_mode,formal
training.fixed_epochs,10
training.focal_gamma,2.0
training.gradient_clip_norm,
training.inner_grouped_folds,0
training.inner_patience,0
training.label_smoothing,0.0
training.learning_rate,0.001
training.loss,cross_entropy
training.maximum_inner_epochs,0
training.n_classes,3
training.num_workers,0
training.optimizer,adam
training.optimizer_parameters.amsgrad,False
training.optimizer_parameters.betas,"[0.9, 0.999]"
training.optimizer_parameters.eps,1e-08
training.optimizer_parameters.maximize,False
training.outer_labels_visible_to_trainer,False
training.participant_window_quota,all
training.refit_on_all_outer_training,True
training.sampler,balance_line_weighted_v2
training.samples_per_epoch,
training.seed,42
training.training_balance,equal_role_families
training.weight_decay,0.0001
windows.engineering.cap_fraction_per_file,
windows.engineering.cap_per_file,
windows.engineering.end_alignment,left_start_regular_grid
windows.engineering.hop_s,2.0
windows.engineering.length_s,10.0
windows.engineering.min_valid_fraction,1.0
windows.engineering.padding,none_complete_windows_only
windows.raw_dl.cap_fraction_per_file,
windows.raw_dl.cap_per_file,128
windows.raw_dl.end_alignment,include_right_aligned_if_distinct
windows.raw_dl.hop_s,2.5
windows.raw_dl.length_s,5.0
windows.raw_dl.min_valid_fraction,1.0
windows.raw_dl.padding,none_complete_windows_only
windows.shared_planner_version,window_plan_v1
