source_study,parameter_group,parameter,unique_value_count,observed_values,parameter_role,comparison_interpretation
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,manual_features,3,"[""morphology"", ""morphology_ppi_hrv_filelevel"", ""none""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,quality_feature_aggregation,quality_route_bundle,6,"[""SQI=none; aggregation=mean_prob"", ""SQI=none; aggregation=quality_weighted_mean"", ""SQI=top50_quality; aggregation=mean_prob"", ""SQI=top50_quality; aggregation=quality_weighted_mean"", ""SQI=top70_quality; aggregation=mean_prob"", ""SQI=top70_quality; aggregation=quality_weighted_mean""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,study_factor,overfit_stage,2,"[""reference"", ""stage1""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,study_factor,stage1_screen_group,5,"[""focused_combo"", ""main_effect"", ""manual_loss_combo"", ""quality_combo"", ""reference""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,study_factor,stage1_regularization_factor,14,"[""aggregation"", ""baseline"", ""class_weight_mode"", ""combined_regularization"", ""dropout"", ""label_smoothing"", ""loss_type"", ""manual_features"", ""manual_loss"", ""max_windows_fraction"", ""reference"", ""sqi_aggregation"", ""sqi_mode"", ""weight_decay""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,study_factor,stage1_regularization_value,43,"[""0.001"", ""0.002"", ""0.01"", ""0.02"", ""0.05"", ""0.1"", ""0.15"", ""0.3"", ""0.4"", ""0.5"", ""0.6"", ""0.7"", ""1.0"", ""10"", ""15"", ""9"", ""balanced_softmax"", ""effective_number"", ""focal_loss"", ""morphology"", ""morphology_balanced_softmax"", ""morphology_focal_loss"", ""morphology_ppi_hrv_filelevel"", ""morphology_ppi_hrv_filelevel_balanced_softmax"", ""morphology_ppi_hrv_filelevel_focal_loss"", ""quality_weighted_mean"", ""top50_quality"", ""top50_quality_quality_weighted_mean"", ""top70_quality"", ""top70_quality_quality_weighted_mean"", ""wd0.005_do0.4_ls0.15_mw0.9"", ""wd0.005_do0.4_ls0.3_mw0.9"", ""wd0.005_do0.6_ls0.15_mw0.9"", ""wd0.005_do0.6_ls0.3_mw0.9"", ""wd0.01_do0.4_ls0.15_mw0.9"", ""wd0.01_do0.4_ls0.2_mw0.9"", ""wd0.01_do0.4_ls0.3_mw0.9"", ""wd0.01_do0.5_ls0.15_mw0.9"", ""wd0.01_do0.5_ls0.3_mw0.9"", ""wd0.01_do0.6_ls0.15_mw0.9"", ""wd0.01_do0.6_ls0.2_mw0.9"", ""wd0.01_do0.6_ls0.3_mw0.9"", ""wd0p005_do0p5_ls0p2""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,study_factor,is_reference,2,"[""0"", ""1""]",varied,marginal_descriptive_not_single_factor_causal
20260625_2320_overfitting_sweep_stage1_rank2,data_roles,dynamic_data_mode,1,"[""static_only""]",fixed,fixed_within_archive
20260625_2320_overfitting_sweep_stage1_rank2,data_roles,train_role_mode,1,"[""static_only""]",fixed,fixed_within_archive
20260625_2320_overfitting_sweep_stage1_rank2,data_roles,validation_role_mode,1,"[""static_only""]",fixed,fixed_within_archive
20260625_2320_overfitting_sweep_stage1_rank2,data_roles,test_role_mode,1,"[""static_only""]",fixed,fixed_within_archive
20260625_2320_overfitting_sweep_stage1_rank2,data_roles,eval_protocol,1,"[""stratified_group_kfold""]",fixed,fixed_within_archive
20260625_2320_overfitting_sweep_stage1_rank2,data_roles,n_splits,1,"[""5""]",fixed,fixed_within_archive
