source_study,parameter_group,parameter,unique_value_count,observed_values,parameter_role,comparison_interpretation
20260630_0630_overfitting_sweep_generalization_rank2,optimization_and_regularization,cnn_label_smoothing,4,"[""0"", ""0.1"", ""0.2"", ""0.3""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,optimization_and_regularization,loss_type,1,"[""weighted_ce""]",fixed,fixed_within_archive
20260630_0630_overfitting_sweep_generalization_rank2,optimization_and_regularization,class_weight_mode,1,"[""inverse_subject_count""]",fixed,fixed_within_archive
20260630_0630_overfitting_sweep_generalization_rank2,optimization_and_regularization,regularization_bundle,6,"[""WD=0.0001; dropout=-1; LS=0"", ""WD=0.0005; dropout=0.5; LS=0.1"", ""WD=0.0005; dropout=0.7; LS=0.1"", ""WD=0.0005; dropout=0; LS=0.1"", ""WD=0.005; dropout=0.5; LS=0.2"", ""WD=0.01; dropout=0.5; LS=0.3""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,quality_feature_aggregation,sqi_mode,2,"[""none"", ""top50_quality""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,quality_feature_aggregation,aggregation,2,"[""mean_prob"", ""quality_weighted_mean""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,quality_feature_aggregation,manual_features,1,"[""none""]",fixed,fixed_within_archive
20260630_0630_overfitting_sweep_generalization_rank2,quality_feature_aggregation,quality_route_bundle,3,"[""SQI=none; aggregation=mean_prob"", ""SQI=top50_quality; aggregation=mean_prob"", ""SQI=top50_quality; aggregation=quality_weighted_mean""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,sampling,window_sampler,3,"[""class_subject_balanced"", ""none"", ""subject_balanced""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,sampling,windows_per_subject_per_epoch,4,"[""16"", ""32"", ""50%"", ""all""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,sampling,sampling_policy,7,"[""sampler=class_subject_balanced; quota=16"", ""sampler=class_subject_balanced; quota=32"", ""sampler=class_subject_balanced; quota=50%"", ""sampler=none; quota=all"", ""sampler=subject_balanced; quota=16"", ""sampler=subject_balanced; quota=32"", ""sampler=subject_balanced; quota=50%""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,study_factor,overfit_stage,2,"[""fixed_reference"", ""generalization""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,study_factor,stage1_screen_group,2,"[""fixed_reference"", ""generalization""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,study_factor,stage1_regularization_factor,4,"[""20260527"", ""20260608"", ""20260625"", ""generalization_grid""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,study_factor,stage1_regularization_value,10,"[""g0056"", ""g0068"", ""s1_085"", ""s1_091"", ""s1_102"", ""s1_105"", ""s1_122"", ""s1_163"", ""wd0.005_do0.5_ls0.2"", ""wd0.01_do0.5_ls0.3""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,study_factor,is_reference,2,"[""0"", ""1""]",varied,marginal_descriptive_not_single_factor_causal
20260630_0630_overfitting_sweep_generalization_rank2,data_roles,dynamic_data_mode,1,"[""static_only""]",fixed,fixed_within_archive
20260630_0630_overfitting_sweep_generalization_rank2,data_roles,train_role_mode,1,"[""static_only""]",fixed,fixed_within_archive
20260630_0630_overfitting_sweep_generalization_rank2,data_roles,validation_role_mode,1,"[""static_only""]",fixed,fixed_within_archive
20260630_0630_overfitting_sweep_generalization_rank2,data_roles,test_role_mode,1,"[""static_only""]",fixed,fixed_within_archive
20260630_0630_overfitting_sweep_generalization_rank2,data_roles,eval_protocol,1,"[""stratified_group_kfold""]",fixed,fixed_within_archive
20260630_0630_overfitting_sweep_generalization_rank2,data_roles,n_splits,1,"[""5""]",fixed,fixed_within_archive
